coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo,coo
0,2.367640484,5.324723871,8.890802742,13.76180661,16.32096512,17.75973387,18.72076349,19.26549632,19.45208843,19.33540968,18.96704365,18.3952877,17.66515295,16.81836427,15.89336028,14.92529338,13.9460297,12.98414915,12.06494538,11.21042581,10.43931161,9.767037714,9.205752809,8.764319339,8.448313508,8.260025275,8.198458357,8.25933023,8.435072125,8.714829032,9.084459699,9.52653663,10.02034609,10.54188809,11.06387641,11.55573859,11.98361592,12.31036344,12.49554997,12.49545806,12.26308405,11.748138,10.89704375,9.652938901,7.955674798,5.741816552,2.944643028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.332689601,5.246120804,8.759557559,13.56951407,16.12078845,17.58086316,18.57934014,19.17575268,19.42642849,19.38448968,19.09985278,18.61922875,17.98612293,17.24083511,16.42045945,15.55888456,14.68679346,13.83166356,13.0177667,12.26616914,11.59473154,11.01810898,10.54775095,10.19190135,9.955598508,9.840675152,9.845758428,9.966269894,10.19442552,10.5192357,10.92650522,11.39883331,11.91561358,12.45303407,12.98407724,13.47851996,13.9029335,14.22068356,14.39193024,14.37362806,14.11952596,13.58016729,12.70288979,11.43182566,9.707901465,7.468838216,4.649151325,1.18015062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.297738717,5.167517738,8.628312375,13.37722154,15.92061179,17.40199245,18.43791678,19.08600903,19.40076854,19.43356968,19.23266192,18.8431698,18.30709292,17.66330594,16.94755862,16.19247575,15.42755721,14.67917797,13.97058802,13.32191247,12.75015147,12.26918024,11.88974908,11.61948336,11.46288351,11.42132503,11.4930585,11.67320956,11.95377892,12.32364237,12.76855075,13.27112998,13.81088107,14.36418006,14.90427808,15.40130133,15.82225109,16.13100368,16.28831051,16.25179806,15.97596788,15.41219658,14.50873584,13.21071242,11.46012813,9.19585988,6.353659623,2.86615439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.262787834,5.088914671,8.497067192,13.18492901,15.72043512,17.22312174,18.29649342,18.99626539,19.37510859,19.48264968,19.36547106,19.06711085,18.6280629,18.08577678,17.47465778,16.82606693,16.16832097,15.52669238,14.92340935,14.37765581,13.9055714,13.52025151,13.23174722,13.04706537,12.97016851,13.00197491,13.14035857,13.38014922,13.71313232,14.12804903,14.61059627,15.14342666,15.70614856,16.27532604,16.82447891,17.3240827,17.74156867,18.04132379,18.18469078,18.12996806,17.8324098,17.24422587,16.31458188,14.98959917,13.2123548,10.92288154,8.05816792,4.552158161,0.335752228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.227836951,5.010311604,8.365822009,12.99263647,15.52025845,17.04425103,18.15507007,18.90652175,19.34944864,19.53172968,19.4982802,19.2910519,18.94903289,18.50824762,18.00175695,17.45965811,16.90908473,16.37420679,15.87623067,15.43339914,15.06099133,14.77132277,14.57374536,14.47464738,14.47745351,14.58262478,14.78765864,15.08708889,15.47248571,15.9324557,16.4526418,17.01572334,17.60141605,18.18647202,18.74467974,19.24686407,19.66088625,19.95164391,20.08107105,20.00813806,19.68885172,19.07625516,18.12042793,16.76848593,14.96458147,12.64990321,9.762676217,6.238161932,2.008658172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.192886067,4.931708538,8.234576825,12.80034394,15.32008179,16.86538032,18.01364671,18.81677811,19.32378869,19.58080968,19.63108933,19.51499295,19.27000287,18.93071846,18.52885612,18.0932493,17.64984849,17.2217212,16.829052,16.48914247,16.21641126,16.02239403,15.9157435,15.90222939,15.98473851,16.16327466,16.43495871,16.79402855,17.23183911,17.73686237,18.29468732,18.88802002,19.49668354,20.09761801,20.66488058,21.16964544,21.58020384,21.86196403,21.97745132,21.88630806,21.54529363,20.90828445,19.92627397,18.54737269,16.71680813,14.37692487,11.46718451,7.924165702,3.681564116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.157935184,4.853105471,8.103331642,12.60805141,15.11990512,16.68650961,17.87222336,18.72703446,19.29812874,19.62988968,19.76389847,19.738934,19.59097285,19.35318929,19.05595528,18.72684048,18.39061224,18.06923561,17.78187332,17.54488581,17.37183119,17.2734653,17.25774163,17.3298114,17.49202351,17.74392454,18.08225878,18.50096821,18.99119251,19.54126903,20.13673284,20.76031669,21.39195103,22.00876399,22.58508141,23.09242681,23.49952142,23.77228415,23.87383159,23.76447806,23.40173555,22.74031374,21.73212001,20.32625944,18.4690348,16.10394654,13.17169281,9.610169473,5.35447006,0.336885806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.122984301,4.774502404,7.972086459,12.41575887,14.91972845,16.5076389,17.7308,18.63729082,19.27246879,19.67896968,19.89670761,19.96287506,19.91194284,19.77566013,19.58305445,19.36043167,19.131376,18.91675002,18.73469464,18.60062914,18.52725112,18.52453656,18.59973977,18.75739341,18.99930851,19.32457442,19.72955885,20.20790788,20.75054591,21.3456757,21.97877837,22.63261337,23.28721852,23.91990998,24.50528224,25.01520819,25.41883901,25.68260426,25.77021186,25.64264806,25.25817747,24.57234303,23.53796606,22.1051462,20.22126147,17.8309682,14.87620111,11.29617324,7.027376004,2.00357914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.088033417,4.695899338,7.840841275,12.22346634,14.71955179,16.32876819,17.58937664,18.54754718,19.24680884,19.72804968,20.02951675,20.18681611,20.23291282,20.19813097,20.11015362,19.99402285,19.87213976,19.76426443,19.68751597,19.65637247,19.68267105,19.77560783,19.94173791,20.18497542,20.50659351,20.90522429,21.37685892,21.91484754,22.5098993,23.15008237,23.82082389,24.50491005,25.18248601,25.83105596,26.42548308,26.93798956,27.33815659,27.59292438,27.66659214,27.52081806,27.11461939,26.40437232,25.3438121,23.88403296,21.97348813,19.55798986,16.58070941,12.98217701,8.700281948,3.670272473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.053082534,4.617296271,7.709596092,12.03117381,14.51937512,16.14989748,17.44795329,18.45780354,19.22114889,19.77712968,20.16232588,20.41075716,20.55388281,20.6206018,20.63725278,20.62761403,20.61290352,20.61177884,20.64033729,20.71211581,20.83809098,21.02667909,21.28373604,21.61255744,22.01387851,22.48587417,23.02415899,23.62178721,24.2692527,24.95448903,25.66286942,26.37720673,27.0777535,27.74220194,28.34568391,28.86077093,29.25747417,29.5032445,29.56297241,29.39898806,28.9710613,28.23640161,27.14965815,25.66291972,23.7257148,21.28501153,18.2852177,14.66818079,10.37318789,5.336965806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.018131651,4.538693204,7.578350909,11.83888127,14.31919845,15.97102678,17.30652993,18.36805989,19.19548894,19.82620968,20.29513502,20.63469821,20.87485279,21.04307264,21.16435195,21.26120522,21.35366727,21.45929325,21.59315862,21.76785914,21.99351092,22.27775035,22.62573418,23.04013945,23.52116351,24.06652405,24.67145906,25.32872687,26.0286061,26.7588957,27.50491494,28.2495034,28.97302099,29.65334793,30.26588474,30.7835523,31.17679176,31.41356462,31.45935268,31.27715806,30.82750322,30.0684309,28.95550419,27.44180647,25.47794147,23.01203319,19.989726,16.35418456,12.04609384,7.00365914,1.162606083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.983180767,4.460090138,7.447105725,11.64658874,14.11902179,15.79215607,17.16510658,18.27831625,19.16982899,19.87528968,20.42794416,20.85863926,21.19582277,21.46554348,21.69145112,21.8947964,22.09443103,22.30680766,22.54597994,22.82360247,23.14893085,23.52882162,23.96773232,24.46772146,25.02844851,25.64717393,26.31875913,27.03566653,27.7879595,28.56330237,29.34696046,30.12180008,30.86828848,31.56449391,32.18608558,32.70633367,33.09610934,33.32388473,33.35573295,33.15532806,32.68394514,31.90046019,30.76135023,29.22069323,27.23016813,24.73905486,21.6942343,18.04018833,13.71899978,8.670352473,2.831531194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.948229884,4.381487071,7.315860542,11.45429621,13.91884512,15.61328536,17.02368322,18.18857261,19.14416904,19.92436968,20.5607533,21.08258031,21.51679276,21.88801432,22.21855028,22.52838759,22.83519479,23.15432207,23.49880126,23.87934581,24.30435078,24.77989288,25.30973046,25.89530347,26.53573351,27.2278238,27.96605921,28.7426062,29.54731289,30.36770903,31.18900599,31.99409676,32.76355597,33.4756399,34.10628641,34.62911504,35.01542693,35.23420485,35.25211322,35.03349806,34.54038706,33.73248949,32.56719628,30.99957999,28.9823948,26.46607652,23.3987426,19.7261921,15.39190572,10.33704581,4.500456304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.913279001,4.302884004,7.184615359,11.26200367,13.71866845,15.43441465,16.88225986,18.09882897,19.11850909,19.97344968,20.69356243,21.30652136,21.83776274,22.31048515,22.74564945,23.16197877,23.57595854,24.00183648,24.45162259,24.93508914,25.45977071,26.03096415,26.65172859,27.32288548,28.04301851,28.80847368,29.61335928,30.44954586,31.30666629,32.1721157,33.03105151,33.86639344,34.65882346,35.38678588,36.02648724,36.55189641,36.93474451,37.14452497,37.14849349,36.91166806,36.39682897,35.56451878,34.37304232,32.77846675,30.73462147,28.19309818,25.10325089,21.41219587,17.06481167,12.00373914,6.169381415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.878328117,4.224280938,7.053370175,11.06971114,13.51849179,15.25554394,16.74083651,18.00908532,19.09284914,20.02252968,20.82637157,21.53046241,22.15873273,22.73295599,23.27274862,23.79556995,24.3167223,24.8493509,25.40444391,25.99083247,26.61519064,27.28203541,27.99372673,28.75046749,29.55030351,30.38912356,31.26065935,32.15648553,33.06601969,33.97652237,34.87309704,35.73869011,36.55409096,37.29793186,37.94668808,38.47467778,38.85406209,39.05484509,39.04487376,38.78983806,38.25327089,37.39654807,36.17888837,34.5573535,32.48684813,29.92011985,26.80775919,23.09819964,18.73771761,13.67043247,7.838306526,1.181145015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.843377234,4.145677871,6.922124992,10.87741861,13.31831512,15.07667323,16.59941315,17.91934168,19.06718919,20.07160968,20.95918071,21.75440346,22.47970271,23.15542683,23.79984778,24.42916114,25.05748606,25.69686531,26.35726524,27.04657581,27.77061057,28.53310667,29.33572487,30.1780495,31.05758851,31.96977343,32.90795942,33.86342519,34.82537308,35.78092903,36.71514256,37.61098679,38.44935845,39.20907785,39.86688891,40.39745915,40.77337968,40.9651652,40.94125403,40.66800806,40.10971281,39.22857736,37.98473441,36.33624026,34.2390748,31.64714151,28.51226749,24.78420341,20.41062356,15.33712581,9.507231636,2.862386119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.808426351,4.067074804,6.790879809,10.68512607,13.11813845,14.89780252,16.4579898,17.82959804,19.04152925,20.12068968,21.09198984,21.97834451,22.80067269,23.57789767,24.32694695,25.06275232,25.79824982,26.54437972,27.31008656,28.10231914,28.9260305,29.78417794,30.67772301,31.60563151,32.56487351,33.55042331,34.55525949,35.57036485,36.58472648,37.5853357,38.55718808,39.48328347,40.34462594,41.12022383,41.78708974,42.32024052,42.69269726,42.87548532,42.8376343,42.54617806,41.96615472,41.06060665,39.79058045,38.11512702,35.99130147,33.37416318,30.21677579,26.47020718,22.0835295,17.00381914,11.17615675,4.543627223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
