Log file
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  7.3s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  7.4s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  7.5s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  7.6s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  7.7s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  7.8s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  7.9s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  8.0s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  8.1s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  8.2s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  8.3s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  8.4s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  8.5s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  8.7s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  8.8s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  8.8s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  8.9s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  9.0s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  9.1s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  9.2s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  9.3s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  9.4s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  9.5s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  9.6s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  9.7s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  9.8s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at  9.9s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at 10.0s
Output: S:  0.0%, W:  0.0%, D:  0.0%.    Input: S:  0.0mA, W:  0.0mA, D:  0.0mA, T: 83.6mL at 10.1s
